"radar_id","PDM","se","radar_id","alpha","se"
"KABR",336.780465653214,1.19243668714984,"KABR",0.306719560298413,0.0385799337635783
"KABX",350.690311834322,1.39310369251449,"KABX",0.223702570106746,0.0443864057676633
"KAKQ",23.0681557390737,1.1814237397825,"KAKQ",0.144285300322527,0.036560688519224
"KAMA",352.09556264422,1.30271331165044,"KAMA",-0.227736931420491,0.0415353920327674
"KAMX",341.975923988423,1.84497791312388,"KAMX",0.37606102399525,0.0572668637560211
"KAPX",2.53429650321843,1.30998275525671,"KAPX",0.213545544151692,0.042321676624281
"KARX",343.010556115419,1.18146594698403,"KARX",0.343939669120623,0.036743807917323
"KATX",357.695466013599,1.03780415122229,"KATX",0.157885256162901,0.0336535826391791
"KBBX",342.180318116711,1.21417422034272,"KBBX",0.20717451367722,0.037029361178248
"KBGM",26.5895897664504,1.25957929917849,"KBGM",0.287800557569632,0.0397641592129711
"KBHX",353.760276882192,1.29643043489069,"KBHX",0.322971486831039,0.0430653306806477
"KBIS",329.967151818074,1.18241313694537,"KBIS",0.408858904372458,0.0380555537662179
"KBLX",309.467725554016,1.52316345144127,"KBLX",0.432022243528717,0.0524712101074567
"KBMX",22.3838051042992,1.12155596992299,"KBMX",-0.0268511415891601,0.034556267195115
"KBOX",47.6024724018683,1.7705748406885,"KBOX",0.179856017476518,0.0599976782908832
"KBRO",12.9756542048811,1.02435390958084,"KBRO",0.298358488283613,0.0303486918421752
"KBUF",24.0060371559096,1.17373915517531,"KBUF",0.161546510214951,0.0374191253631216
"KBYX",347.57547207277,2.10960327720781,"KBYX",0.366320140843235,0.0697051397512354
"KCAE",25.3597424987737,1.10622395400564,"KCAE",0.117328715803232,0.0341957424784279
"KCBW",35.4364799156775,1.49585991645083,"KCBW",0.151219559071189,0.0488419897903721
"KCBX",333.481666728031,1.32114378869079,"KCBX",0.564734823773401,0.0437819669778558
"KCCX",29.4345975671685,1.25498524016292,"KCCX",0.170876827403955,0.0392305592406208
"KCLE",20.8074634278712,1.23522536577936,"KCLE",0.1807312031413,0.0394402191919656
"KCLX",23.9835169627268,1.1294865478101,"KCLX",0.124459878494623,0.0350346616719028
"KCRP",12.5472859946639,1.09435615119533,"KCRP",0.273639491956813,0.032326849046547
"KCXX",20.1158136232863,1.37039103640511,"KCXX",0.325849634949627,0.0444633929285288
"KCYS",346.821199519237,1.53482035260875,"KCYS",0.328793098908479,0.0503079347104009
"KDAX",346.185436106397,1.02863199426684,"KDAX",0.506909264189217,0.0318631305527331
"KDDC",348.2720580398,1.1893045799217,"KDDC",0.0225751825364189,0.0378354894906422
"KDFX",356.654607013623,1.17383989894007,"KDFX",0.0359452496095421,0.0352927007361488
"KDGX",25.2222373944016,1.08053726359117,"KDGX",-0.0472251397527496,0.0329616399989904
"KDIX",37.7193150176561,1.23313872946796,"KDIX",0.0355020434224396,0.0399323126033635
"KDLH",330.664391175066,1.19866129216675,"KDLH",0.317343176375027,0.0378106745041806
"KDMX",351.919482065195,1.14077875212247,"KDMX",0.109004874846515,0.0353775520547693
"KDOX",32.4609275614648,1.42816300533031,"KDOX",0.0442414670103098,0.0454374737007896
"KDTX",11.9430404210209,1.2320813105794,"KDTX",0.211163610271309,0.0398592711787277
"KDVN",354.979978865164,1.14709243737509,"KDVN",0.203731501083939,0.0356892212335616
"KDYX",9.02507003075277,1.36555593498892,"KDYX",0.0797594943889795,0.0419979346338289
"KEAX",3.88257499371838,1.08980559348256,"KEAX",0.103479580946373,0.0333870008563131
"KEMX",330.246736180753,1.18762758659462,"KEMX",0.423595805491379,0.0368597294003372
"KENX",31.9708984864745,1.29374410306342,"KENX",0.135555569900547,0.0410272529664177
"KEOX",2.10621849507027,1.89276650041552,"KEOX",-0.0297361642391783,0.05994655909278
"KEPZ",342.015512315804,1.38391377699284,"KEPZ",0.387833287915781,0.0429665253317495
"KESX",325.738535240072,1.46139053604146,"KESX",0.0439813972380718,0.0456949141228478
"KEVX",345.069667641945,1.91724507034821,"KEVX",0.0571978069804514,0.0616205960599175
"KEWX",15.1036929536726,1.03268777675324,"KEWX",0.182784638935515,0.0309624332541451
"KEYX",329.889579453072,1.8105863711634,"KEYX",0.357294094691502,0.055651456844286
"KFCX",32.0873437816599,1.23088582251809,"KFCX",0.129555716089822,0.0388602602963688
"KFDR",359.986999923991,1.28699335308955,"KFDR",0.0138518802577176,0.0394078532149107
"KFDX",1.67883531736001,1.46725137526899,"KFDX",-0.222107657712812,0.0459319095957067
"KFFC",17.913436199153,1.11631643808757,"KFFC",0.0319777428915009,0.0343822994124469
"KFSD",340.180637289142,1.16691341850759,"KFSD",0.268089659379898,0.0371020978354987
"KFSX",340.583334060166,1.23559836991516,"KFSX",0.421038525936951,0.0386021106296809
"KFTG",337.436826653576,1.45718658654318,"KFTG",0.484714698017909,0.0479106740211183
"KFWS",13.8674446485989,1.0315107083609,"KFWS",0.12886884600799,0.0312002567579955
"KGGW",318.711688424339,1.32390166907517,"KGGW",0.348415782894561,0.0447616064002706
"KGJX",22.0682085772688,1.20251764642469,"KGJX",-0.124846610476111,0.0395342289855993
"KGLD",343.279279549268,1.18587604380886,"KGLD",0.101430145025376,0.0378915913027443
"KGRB",349.427122002073,1.28577587709147,"KGRB",0.302492816976018,0.0406142573486546
"KGRK",17.2064239594685,1.21798722719149,"KGRK",0.188936664615872,0.0368586098907755
"KGRR",2.58945061773679,1.18521041104549,"KGRR",0.216678678004168,0.0371336690249616
"KGSP",31.6732839956374,1.08891053854757,"KGSP",0.0531175963022303,0.0334759353711142
"KGWX",23.870865372578,1.24772089800855,"KGWX",-0.00924249490852335,0.0380350903174567
"KGYX",39.819348935606,1.18108738146989,"KGYX",0.26595700783166,0.0384105581342907
"KHDX",344.393911289704,1.81948862458696,"KHDX",0.455619673757633,0.0554250085376477
"KHGX",31.7654335317438,1.09376058108528,"KHGX",0.200725997178822,0.0329493595271867
"KHNX",342.177858454005,1.01734487807453,"KHNX",0.622609720219336,0.0326370915543974
"KHPX",25.8712094368842,1.89859814633885,"KHPX",-0.0369213376233782,0.0580830662681561
"KHTX",26.7171918532679,1.24064480386858,"KHTX",-0.025121015154732,0.0379527541585481
"KICT",357.248772070917,1.10315138768114,"KICT",0.0507391664217208,0.0347540376832777
"KICX",15.0332219616978,1.50088766179223,"KICX",-0.0402827717392594,0.0475731254504792
"KILN",26.9951543415519,1.1701311042773,"KILN",-0.00956904139647976,0.0361681682383663
"KILX",3.19015402675299,1.15388582397938,"KILX",0.102787160495961,0.0357544270880219
"KIND",14.8374399899579,1.18853753912369,"KIND",0.0484535262055745,0.0369838937842712
"KINX",7.09902671488581,1.05452192224329,"KINX",0.0180099665929086,0.0324595740338247
"KIWA",328.748317070054,1.09300869529244,"KIWA",0.35993826358689,0.032953408119855
"KIWX",7.53946136515168,1.24680319075609,"KIWX",0.165671377843283,0.0390081480092934
"KJAX",356.494393612715,1.08093492025702,"KJAX",0.249420660411786,0.0327909367025436
"KJGX",11.8810528256113,1.37137560377628,"KJGX",0.142803027209284,0.0421436397236022
"KJKL",30.965431967133,1.17306834814552,"KJKL",0.0567877332893732,0.0360933328794444
"KLBB",354.117153843095,1.2836821986033,"KLBB",-0.0699428486471628,0.0399408320880666
"KLCH",30.0290255247461,1.24639953524543,"KLCH",-0.065431757777277,0.0379146314631988
"KLGX",347.346175837696,1.86396799421609,"KLGX",0.30366741926875,0.0583730667754287
"KLIX",15.2371187383177,1.2442928561458,"KLIX",-0.0928300010061509,0.0389863182477072
"KLNX",342.578730014115,1.21368216191068,"KLNX",0.235670533490345,0.0385042098905692
"KLOT",351.226411790671,1.17578970659125,"KLOT",0.230039471104646,0.036822611092042
"KLRX",357.819392479628,1.52721207862755,"KLRX",0.392000003369958,0.0481699422857814
"KLSX",6.25757110773736,1.14014878161575,"KLSX",0.00566756323887799,0.0347555450115376
"KLTX",40.5771294053687,1.45666657155761,"KLTX",-0.0548612699777828,0.0481144446585242
"KLVX",24.9389272856364,1.21117281608823,"KLVX",0.0335125189942175,0.0370284442519973
"KLWX",23.1132893396203,1.10753273699604,"KLWX",0.226990173328643,0.0344881607154271
"KLZK",19.2343199324166,1.07214658261525,"KLZK",0.0361538384739581,0.0325771156020515
"KMAF",354.677779891524,1.2717465203388,"KMAF",0.00799834474012075,0.0394516202255939
"KMAX",4.26135867265515,1.1428315871083,"KMAX",0.265562274454956,0.0383648215517686
"KMBX",323.773355704939,2.10923723828742,"KMBX",0.399859517004121,0.0687268659841486
"KMHX",41.9487277450403,2.4238512061267,"KMHX",-0.0145830060079428,0.0794829383057245
